Hotel;Average Score;2025-11-29;2025-12-01;2026-02-13;2026-02-14;2026-02-17
Ananea Castelo Suites Hotel;4.7;4.7;4.7;4.7;4.7;4.7
PortoBay Falésia;4.5;4.5;4.5;4.5;4.5;4.5
Regency Salgados Hotel & Spa;4.6;4.6;4.6;4.6;4.6;4.6
NAU São Rafael Atlântico;4.06;4.0;4.0;4.1;4.1;4.1
The Westin Salgados Beach Resort;4.1;4.1;4.1;4.1;4.1;4.1
Vidamar Resort Hotel Algarve;4.0;4.0;4.0;4.0;4.0;4.0
