Hotel;Average Score;2025-12-01;2026-02-13;2026-02-14;2026-02-17
Ananea Castelo Suites Hotel;8.8;8.8;;8.8;8.8
PortoBay Falésia;9.2;9.2;;9.2;9.2
Regency Salgados Hotel & Spa;9.2;9.2;;9.2;9.2
NAU São Rafael Atlântico;8.4;;;8.4;8.4
The Westin Salgados Beach Resort;8.8;;;;8.8
Vidamar Resort Hotel Algarve;8.6;;;8.6;8.6
