Hotel;Average Score;2025-12-01;2026-02-13;2026-02-14;2026-02-17
Ananea Castelo Suites Hotel;4.78;4.7;4.8;4.8;4.8
PortoBay Falésia;4.5;4.5;4.5;4.5;4.5
Regency Salgados Hotel & Spa;4.6;4.6;;4.6;4.6
NAU São Rafael Atlântico;4.2;4.2;4.2;4.2;4.2
The Westin Salgados Beach Resort;4.45;4.5;4.5;4.5;4.3
Vidamar Resort Hotel Algarve;4.4;4.4;4.4;4.4;4.4
